1	5	6	7
1	9	0	7
2	12	4	8
3	17	5	0
4	21	7	9
5	23	7	2
6	31	4	2
7	40	8	7
8	45	2	0
9	48	4	8
10	58	8	5
11	68	1	2
12	76	5	9
13	80	0	1
14	87	8	10
15	89	9	3
16	97	6	8
17	99	4	3
18	105	7	4
19	111	10	6
20	114	1	3
21	117	2	7
22	126	2	0
23	128	10	7
24	135	1	9
25	143	4	6
26	146	3	5
27	156	2	5
28	159	4	0
29	161	0	10
30	165	2	9
31	169	0	4
32	178	8	5
33	183	6	3
34	189	4	5
35	191	5	0
36	193	8	9
37	196	10	8
38	199	4	0
39	201	8	1
40	205	10	6
41	215	3	2
42	221	9	8
43	227	1	7
44	234	10	6
45	236	3	10
46	245	3	10
47	247	5	0
48	250	1	7
49	255	2	4
50	257	7	1
51	259	10	6
52	268	3	9
53	275	2	6
54	278	2	1
55	284	10	6
56	291	3	2
57	297	6	5
58	301	10	2
59	307	10	3
60	316	1	5
61	321	4	5
62	330	7	9
63	336	0	4
64	341	8	6
65	347	1	9
66	354	7	8
67	358	10	3
68	361	3	6
69	366	3	0
70	371	6	1
-1
