3	5	3	4
1	1	7	4
2	2	6	3
3	3	1	6
4	4	3	9
5	4	1	4
6	7	0	5
7	8	10	1
8	10	7	0
9	10	9	2
10	10	4	6
11	10	9	8
12	16	10	2
13	17	1	4
14	18	10	2
15	19	2	8
16	21	7	0
17	23	8	1
18	25	2	4
19	26	1	0
20	27	9	1
21	28	7	4
22	29	2	5
23	30	6	10
24	31	9	2
25	33	5	4
26	34	0	4
27	35	4	7
28	36	1	6
29	38	3	10
30	40	0	3
31	41	0	3
32	42	1	8
33	43	9	0
34	45	7	9
35	46	0	8
36	48	8	4
37	49	10	9
38	51	10	9
39	53	4	3
40	55	10	9
41	57	3	1
42	59	7	6
43	60	4	9
44	62	4	3
45	63	5	0
46	64	1	4
47	65	9	0
48	66	7	8
49	68	3	0
50	70	7	8
51	72	5	6
52	73	10	6
53	74	10	8
54	75	10	4
55	77	6	9
56	78	3	4
57	79	10	0
58	80	6	10
59	82	10	6
60	84	0	7
61	85	3	1
62	86	9	5
63	88	3	0
64	89	4	6
65	90	6	4
66	91	3	4
67	93	9	2
68	95	4	3
69	97	6	3
70	99	7	10
71	101	6	4
72	103	2	9
73	105	7	4
74	107	4	8
75	109	4	2
76	111	1	2
77	112	1	8
78	113	9	7
79	115	9	0
80	116	6	5
81	117	5	4
82	119	6	5
83	121	0	2
84	122	0	10
85	124	4	8
86	125	9	1
87	127	1	0
88	129	2	10
89	131	10	3
90	133	9	6
91	135	4	6
92	137	4	5
93	139	10	8
94	141	4	7
95	142	3	6
96	144	0	1
97	146	5	9
98	148	0	7
99	150	8	1
100	152	5	8
-1
